ui_file	line	function	page	visible_label	section	control_type	db_key_or_helper	values_min_max_step	apply_helper	registry_key	status	reason
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	880	EssentialSwitch	auras3	<dynamic:label>	EssentialSwitch	toggle			ApplyUnit		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	917	EssentialSwitch	auras3	Editing scope	EssentialSwitch	dropdown	ValueDropdownAt	AO.SCOPES	Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	946	RefreshScopeButtons	auras3	Custom filters	RefreshScopeButtons	toggle	ValueToggleAt		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	959	RefreshScopeButtons	auras3	Custom caps	RefreshScopeButtons	toggle	ValueToggleAt		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	972	RefreshScopeButtons	auras3	Custom layout	RefreshScopeButtons	toggle	ValueToggleAt		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	985	RefreshScopeButtons	auras3	Custom ignore	RefreshScopeButtons	toggle	ValueToggleAt		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	998	RefreshScopeButtons	auras3	Reset scope	RefreshScopeButtons	button					todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1003	RefreshScopeButtons	auras3	Reset all	RefreshScopeButtons	button					todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1023	QuickButton	auras3	<dynamic:label or p.label>	QuickButton	button			ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1049	QuickButton	auras3	Basic	QuickButton	button					todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1052	QuickButton	auras3	All settings	QuickButton	button					todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1291	MoveGroupLabel	auras3	Show Buffs	Display	toggle	showBuffs		ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1293	MoveGroupLabel	auras3	Highlight own buffs	Display	toggle	highlightOwnBuffs		ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
