RetailPath	Flavors	Reason
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_Common.lua	*	Retail 12.1.0 SpellName alias catalog (Common); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_deDE.lua	*	Retail 12.1.0 SpellName alias catalog (deDE); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_enUS.lua	*	Retail 12.1.0 SpellName alias catalog (enUS); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_esES.lua	*	Retail 12.1.0 SpellName alias catalog (esES); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_esMX.lua	*	Retail 12.1.0 SpellName alias catalog (esMX); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_frFR.lua	*	Retail 12.1.0 SpellName alias catalog (frFR); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_itIT.lua	*	Retail 12.1.0 SpellName alias catalog (itIT); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_koKR.lua	*	Retail 12.1.0 SpellName alias catalog (koKR); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_ptBR.lua	*	Retail 12.1.0 SpellName alias catalog (ptBR); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
MidnightSimpleUnitFrames/Auras3/AliasData/MSUF_Auras3_AliasData_ruRU.lua	*	Retail 12.1.0 SpellName alias catalog (ruRU); each Classic flavor loads the catalog generated from its own client build under Game/<Flavor>/Auras/AliasData
